"Genes","E.MTAB.386_eset","GSE12418_eset","GSE17260_eset","GSE18520_eset","GSE26712_eset","GSE32062.GPL6480_eset","GSE9891_eset","PMID17290060_eset","TCGA_eset","Pooled.LogIt.Coefficient","Mean.Optimal","Mean.Suboptimal","P","FDR"
"TNNT3","ILMN_1720231","3117","A_23_P127824","205693_at","205693_at","A_23_P127824","205693_at","205693_at","205693_at",-0.222489394138444,0.0774888870832061,-0.117575516890685,0.00163004465556908,0.0966866127231248
"GPR31","ILMN_1679962","6537","A_23_P42112","208556_at","208556_at","A_23_P42112","208556_at","208556_at","208556_at",-0.213194183438211,0.0758878353003801,-0.115146207372633,0.0016634357759668,0.0972385384553132
"RHBDD3","ILMN_1815264","24147","A_23_P155009","204402_at","217622_at","A_23_P155009","204402_at","217622_at","217622_at",-0.209454127688109,0.0756071996282611,-0.11472039296944,0.00166888743096148,0.0972385384553132
"DRP2","ILMN_1702329","26082","A_23_P62196","207648_at","207648_at","A_23_P62196","207648_at","207648_at","207648_at",-0.215005497655809,0.0765116129852156,-0.116092678363248,0.00174803149911687,0.0998187443885789
"ACSL3","ILMN_1666096","2173","A_24_P37319","201662_s_at","201662_s_at","A_24_P248606","201662_s_at","201662_s_at","201662_s_at",0.210510533968803,-0.075649642718674,0.114784792762515,0.00174900540497025,0.0998187443885789
"SLC28A1","ILMN_1713246","25377","A_23_P14667","207560_at","207560_at","A_23_P14667","207560_at","207560_at","207560_at",-0.217070828171706,0.079580101332412,-0.12074856022031,0.00175865345520583,0.0998187443885789
"DOCK6","ILMN_1801226","21212","A_23_P67299","55583_at","221794_at","A_23_P67299","55583_at","221794_at","221794_at",-0.208928271122243,0.0752674570584155,-0.114204894428128,0.00178276853540717,0.100322632795905
"FBXO3","ILMN_1729175","28725","A_23_P363831","218432_at","218432_at","A_23_P202844","218432_at","218432_at","218432_at",0.206544640339511,-0.0757166976732349,0.114886536654308,0.00180433251648059,0.100675638038205
"PRRG1","ILMN_1781791","13665","A_24_P31929","205618_at","205618_at","A_24_P31929","205618_at","205618_at","205618_at",0.20390479583334,-0.0745794621862164,0.113160985349525,0.00184841114216262,0.102268394621838
"SOX10","ILMN_1653750","1798","A_23_P143694","209843_s_at","209843_s_at","A_23_P143694","209843_s_at","209843_s_at","209843_s_at",-0.213454000340358,0.0771943283310304,-0.117128576705513,0.00187351366452624,0.102391216569314
"PHOX2B","ILMN_1736619","23540","A_23_P213228","207009_at","207009_at","A_23_P213228","207009_at","207009_at","207009_at",-0.220803476173935,0.0772226762282839,-0.117171589565781,0.0018817340833668,0.102391216569314
